,Unnamed: 0,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
474,474,2546309,/course/implementing-azure-cognitive-services-for-language/,Implementing Azure Cognitive Services for Language,2019-09-06,72,True,84.99,4.1,12,2.5
475,475,3425914,/course/azvkurela/,AZ-900: Microsoft Azure Fundamentals,2020-08-17,338,True,29.99,4.25,49,8.5
476,476,4348804,/course/introduction-to-data-analytics-on-microsoft-azure-cloud/,Introduction to Data Analytics on Microsoft Azure Cloud,2021-10-13,165,True,29.99,4.15,23,5.0
477,477,3623640,/course/az-900-microsoft-azure-fundamentals-practice-exams-2020-t/,AZ-900 Microsoft Azure Fundamentals - Practice Exam Mar 2022,2020-11-09,41,True,29.99,4.5,19,166.0
478,478,3914232,/course/fundamentals-question-on-azure/,Fundamental Question on Azure,2021-03-15,11209,True,19.99,3.8,37,45.0
479,479,4986250,/course/exam-dp-900-microsoft-azure-data-fundamentals-practice-tests/,Exam DP-900 Microsoft Azure Data Fundamentals Practice Tests,2022-11-20,5301,True,19.99,4.5333333,16,300.0
480,480,1295546,/course/learning-path-microsoft-azure-cloud-computing-and-storage/,Learning Path: Microsoft Azure: Cloud Computing and Storage,2017-07-17,251,True,84.99,3.85,26,12.5
481,481,1166056,/course/ssas-azure-sql-azure-fast-track-data-analytics-on-azure/,"SSAS Azure, Tabular SSAS, Data Migration, and Administration",2017-04-01,555,True,19.99,3.5,72,1.0
482,482,3410276,/course/beginners-course-on-power-bi-with-azure-devops/,Beginners Course on Power BI with Azure DevOps (ADO),2020-08-11,48905,True,29.99,4.4,282,2.0
483,483,2768748,/course/learn-how-to-secure-azure-virtual-machines-in-1-hour-30-mns/,Securing access to Azure Virtual Machines in 1 HOUR 30 mns,2020-01-20,10,True,19.99,4.5,3,1.5
484,484,2086408,/course/azure-practice-questions-for-interviews-and-exams/,Azure practice questions for interviews and exams,2018-12-14,140,True,24.99,3.3,15,199.0
485,485,4163322,/course/microsoft-azure-serverless-for-busy-net-developers/,Microsoft Azure Serverless for Busy .Net Developers,2021-07-04,4016,True,19.99,3.75,6,6.0
486,486,2099124,/course/whizlabs-microsoft-azureaz-100-prep-course/,Microsoft Azure Exam AZ-100 Video Course,2018-12-21,122,True,19.99,3.95,28,9.0
487,487,3979374,/course/az-303-azure-architect-technologies-certification/,Exam AZ-303 - Microsoft Azure Architect Practice Tests 2023,2021-04-13,1142,True,24.99,3.7,22,320.0
488,488,4901994,/course/migrate-on-premises-sql-server-to-cloud-azure-sql-database/,Migrate on-premises SQL Server  To Cloud Azure SQL Database,2022-09-27,885,True,29.99,4.5555553,9,1.5
489,489,2428794,/course/azure-pipelines/,Azure Pipelines,2019-06-25,309,True,84.99,3.5,30,1.0
490,490,3496130,/course/azure-private-link/,Azure Private Link,2020-09-13,136,True,19.99,3.8,11,1.0
491,491,3760902,/course/azure-arm-ninja/,Azure ARM Ninja in a Couple of Lunches,2021-01-08,53,True,29.99,4.2,15,1.5
492,492,1568060,/course/machine-learning-in-the-cloud-with-azure-machine-learning/,Machine Learning In The Cloud With Azure Machine Learning,2018-02-24,5573,True,84.99,4.15,240,3.0
493,493,3806642,/course/practice-exams-microsoft-azure-exam-az-120-sap/,Practice Exams | Microsoft Azure Exam AZ-120 SAP,2021-01-27,236,True,19.99,3.85,28,262.0
494,494,2396514,/course/architecting-for-high-availability-on-azure/,Architecting for High Availability on Azure,2019-06-03,152,True,84.99,3.75,10,2.5
495,495,3931712,/course/microsoft-azure-fundamentals-az-900-practice-tests-2021-c/,Microsoft Azure Fundamentals AZ-900 - Practice Tests 2021,2021-03-22,7265,True,84.99,4.15,128,80.0
496,496,3769362,/course/azure-az-900-real-exam-practice-tests-explanations-updated/,Microsoft AZ-900 Azure Fundamentals Mock Exam + Explanations,2021-01-12,105,True,39.99,4.2,27,146.0
497,497,2252576,/course/devops-with-azure/,DevOps with Azure,2019-03-04,94,True,84.99,4.2,14,2.5
498,498,2723314,/course/build-enterprise-app-with-azure/,Build Enterprise Web App with Azure,2019-12-26,97,True,59.99,3.1,10,3.0
499,499,3366480,/course/azurepracticetest/,Azure Fundamentals AZ-900 Practice Test & Free exam Voucher*,2020-07-26,44,True,29.99,4.35,17,60.0
500,500,2354664,/course/azure-cognitive-services-for-developers/,Azure Cognitive Services for Developers,2019-05-06,62,True,84.99,3.5555556,9,4.0
501,501,3521860,/course/master-powershell-7-on-microsoft-azure-iaas/,Master PowerShell 7 on Microsoft Azure (IaaS),2020-09-23,88,True,19.99,4.6,5,4.0
502,502,4715066,/course/microservices-azure/,Microservices with containers and Microsoft Azure,2022-06-02,44,True,24.99,4.4166665,6,5.0
503,503,3944906,/course/az-304-microsoft-azure-architect-design-5-tests-2021/,AZ-304: Microsoft Azure Architect Design - 5 tests - 2021,2021-03-28,40,True,39.99,4.875,4,210.0
504,504,1225946,/course/azure-iaas-v2-arm-quick-start/,Azure IaaS V2 (ARM) Quick Start,2017-05-22,189,True,19.99,4.25,28,1.5
505,505,3315948,/course/ai-100-designing-and-implementing-an-azure-ai-solution/,AI-100: Designing and Implementing an Azure AI Solutions,2020-07-09,5441,True,74.99,4.05,345,5.0
